"","Family","MorphousSp","MorphousSpKZN","MorphousSpMP","Commonness","Abundance","KZN2","KZN3","MP3","MP4"
"Endomychidae_Endomychidae_sp2","Endomychidae",0,0,0,0,0,0,0,0,0
"Birrhidae_Birrhidae_sp1","Birrhidae",0,0,0,0,0,0,0,0,0
"Birrhidae_Birrhidae_sp2","Birrhidae",0,0,0,0,0,0,0,0,0
"Formicidae_Formicinae_Camponotus_sp1","Formicidae",1,0,1,1,27,0,0,27,0
"Formicidae_Formicinae_Camponotus_sp2","Formicidae",1,0,1,2,137,0,0,2,135
"Formicidae_Formicinae_Camponotus_sp3","Formicidae",1,1,0,1,1,0,1,0,0
"Formicidae_Formicinae_Camponotus_sp5","Formicidae",0,0,0,0,0,0,0,0,0
"Formicidae_Formicinae_Plagiolepis_sp1","Formicidae",1,1,1,2,7,0,6,1,0
"Formicidae_Formicinae_Plagiolepis_sp2","Formicidae",0,0,0,0,0,0,0,0,0
"Formicidae_Formicinae_Polyrhachis_sp1","Formicidae",0,0,0,0,0,0,0,0,0
"Formicidae_Formicinae_Lepisiota_sp1","Formicidae",0,0,0,0,0,0,0,0,0
"Formicidae_Formicinae_Paratrechina_sp1","Formicidae",1,0,1,1,2,0,0,0,2
"Formicidae_Dolichoderinae_Technomyrmex_sp1","Formicidae",0,0,0,0,0,0,0,0,0
"Formicidae_Dolichoderinae_Tapinoma_sp1","Formicidae",1,1,0,1,5,0,5,0,0
"Formicidae_Pseudomyrmecinae_Tetraponera_sp1","Formicidae",1,1,0,1,4,4,0,0,0
"Formicidae_Pseudomyrmecinae_Tetraponera_sp2","Formicidae",1,0,1,1,1,0,0,1,0
"Formicidae_Myrmicinae_Tetramorium_sp1","Formicidae",0,0,0,0,0,0,0,0,0
"Formicidae_Myrmicinae_Tetramorium_sp2","Formicidae",0,0,0,0,0,0,0,0,0
"Formicidae_Myrmicinae_Cataulacus_sp1","Formicidae",1,1,1,2,5,0,3,2,0
"Formicidae_Myrmicinae_Myrmicaria_sp1","Formicidae",1,1,0,1,1,0,1,0,0
"Formicidae_Myrmicinae_Crematogaster_sp1","Formicidae",1,1,0,1,99,0,99,0,0
"Formicidae_Myrmicinae_Crematogaster_sp2","Formicidae",1,0,1,2,61,0,0,6,55
"Formicidae_Myrmicinae_Crematogaster_sp3","Formicidae",0,0,0,0,0,0,0,0,0
"Formicidae_Myrmicinae_Pheidole_sp1","Formicidae",1,1,1,3,529,509,3,17,0
"Formicidae_Myrmicinae_Pheidole_sp2","Formicidae",0,0,0,0,0,0,0,0,0
"Alydidae_Alydidae_sp1","Alydidae",1,1,0,1,8,8,0,0,0
"Alydidae_Alydidae_sp2","Alydidae",0,0,0,0,0,0,0,0,0
"Alydidae_Nariscuscinctiventris","Alydidae",1,0,1,1,1,0,0,0,1
"Anthocoridae_Anthocoridae_sp1","Anthocoridae",0,0,0,0,0,0,0,0,0
"Anthocoridae_Anthocoridae_sp2","Anthocoridae",0,0,0,0,0,0,0,0,0
"Anthocoridae_Anthocoridae_sp3","Anthocoridae",1,0,1,1,1,0,0,0,1
"Anthocoridae_Oriuslaevigatus","Anthocoridae",1,1,1,3,40,0,9,21,10
"Aphrophoridae_Aphrophoridae_sp1","Aphrophoridae",1,0,1,1,3,0,0,0,3
"Aradidae_Aradidae_sp1","Aradidae",1,1,0,1,1,0,1,0,0
"Cixiidae_Cixiidae_sp1","Cixiidae",1,0,1,1,1,0,0,0,1
"Cercopidae_Cordia_sp","Cercopidae",1,1,1,2,5,0,3,2,0
"Cercopidae_Cercopidae_sp1","Cercopidae",1,0,1,2,2,0,0,1,1
"Cercopidae_Cercopidae_sp2","Cercopidae",0,0,0,0,0,0,0,0,0
"Cicadellidae_Penthimia_sp1","Cicadellidae",1,1,1,4,75,17,5,1,52
"Cicadellidae_Penthimia_sp2","Cicadellidae",1,0,1,1,1,0,0,0,1
"Cicadellidae_Idiocerus_sp1","Cicadellidae",0,0,0,0,0,0,0,0,0
"Cicadellidae_Thaumatopoides_sp1","Cicadellidae",1,1,1,4,81,32,6,3,40
"Cicadellidae_Penthimiolasella","Cicadellidae",1,1,1,2,12,0,4,0,8
"Cicadellidae_Typhlocybinae_Gullifera_sp1","Cicadellidae",1,1,1,4,79,7,23,42,7
"Cicadellidae_Typhlocybinae_Gullifera_sp","Cicadellidae",1,1,1,3,10,0,8,1,1
"Cicadellidae_Typhlocybinae_sp1","Cicadellidae",1,1,1,4,163,61,31,26,45
"Cicadellidae_Typhlocybinae_sp2","Cicadellidae",1,1,1,4,153,13,100,37,3
"Cicadellidae_Typhlocybinae_sp4","Cicadellidae",1,1,1,3,20,6,8,6,0
"Cicadellidae_Typhlocybinae_sp5","Cicadellidae",0,0,0,0,0,0,0,0,0
"Cicadellidae_Typhlocybinae_sp6","Cicadellidae",1,0,1,1,12,0,0,12,0
"Cicadellidae_Typhlocybinae_sp7","Cicadellidae",1,0,1,2,2,0,0,1,1
"Cicadellidae_Typhlocybinae_sp8","Cicadellidae",1,0,1,1,1,0,0,1,0
"Cicadellidae_Typhlocybinae_sp9","Cicadellidae",0,0,0,0,0,0,0,0,0
"Cicadellidae_Typhlocybinae_sp10","Cicadellidae",1,0,1,1,2,0,0,2,0
"Cicadellidae_Selenocephalus_sp1","Cicadellidae",1,1,0,2,10,6,4,0,0
"Cicadellidae_Selenocephalus_sp2","Cicadellidae",1,1,1,2,4,1,0,3,0
"Cicadellidae_Balclutha_sp1","Cicadellidae",1,1,0,1,1,0,1,0,0
"Cicadellidae_Ianeira_sp1","Cicadellidae",1,1,0,1,1,0,1,0,0
"Cicadellidae_Epignoma_sp1","Cicadellidae",0,0,0,0,0,0,0,0,0
"Cicadellidae_Capoideus_sp1","Cicadellidae",0,0,0,0,0,0,0,0,0
"Cicadellidae_Macropsis_sp1","Cicadellidae",1,0,1,1,1,0,0,1,0
"Cicadellidae_Batracomorphus_sp1","Cicadellidae",1,1,1,4,265,139,14,4,108
"Cicadellidae_Batracomorphus_sp2","Cicadellidae",1,1,0,1,1,1,0,0,0
"Cicadellidae_Molopoterus_sp1","Cicadellidae",1,0,1,1,1,0,0,0,1
"Cicadellidae_Cicadulina_sp1","Cicadellidae",1,0,1,1,1,0,0,0,1
"Cicadellidae_Drabescus_sp1","Cicadellidae",0,0,0,0,0,0,0,0,0
"Cicadellidae_Hododoechus_sp1","Cicadellidae",0,0,0,0,0,0,0,0,0
"Cicadellidae_Coloborrhis_sp1","Cicadellidae",0,0,0,0,0,0,0,0,0
"Tettigometridae_Hildapatruelis","Tettigometridae",0,0,0,0,0,0,0,0,0
"Coreidae_Coreidae_sp1","Coreidae",0,0,0,0,0,0,0,0,0
"Coreidae_Coreidae_sp2","Coreidae",0,0,0,0,0,0,0,0,0
"Delphacidae_Delphacidae_sp1","Delphacidae",1,1,0,1,1,0,1,0,0
"Delphacidae_Delphacidae_sp2","Delphacidae",1,1,0,1,1,0,1,0,0
"Delphacidae_Delphacidae_sp3","Delphacidae",0,0,0,0,0,0,0,0,0
"Derbidae_Derbidae_sp1","Derbidae",1,1,0,1,1,0,1,0,0
"Dictyopharidae_Narecho_sp1","Dictyopharidae",0,0,0,0,0,0,0,0,0
"Flatidae_Flatidae_sp1","Flatidae",0,0,0,0,0,0,0,0,0
"Lygaeidae_Lygaeidae_sp1","Lygaeidae",1,1,0,2,5,1,4,0,0
"Lygaeidae_Lygaeidae_sp2","Lygaeidae",1,0,1,1,1,0,0,0,1
"Lygaeidae_Lygaeidae_sp3","Lygaeidae",1,1,0,1,2,0,2,0,0
"Lygaeidae_Lygaeidae_sp4","Lygaeidae",0,0,0,0,0,0,0,0,0
"Lygaeidae_Lygaeidae_sp5","Lygaeidae",0,0,0,0,0,0,0,0,0
"Lygaeidae_Lygaeidae_sp6","Lygaeidae",1,0,1,1,1,0,0,0,1
"Membracidae_Membracidae_sp","Membracidae",1,1,1,4,35,17,1,5,12
"Miridae_Lygidolonlaevigatum","Miridae",1,1,1,3,20,16,1,0,3
"Miridae_Deraeocoris_sp","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp1","Miridae",1,0,1,2,2,0,0,1,1
"Miridae_Miridae_sp2","Miridae",1,1,0,1,2,2,0,0,0
"Miridae_Miridae_sp3","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp4","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp5","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp6","Miridae",1,1,1,3,13,6,0,2,5
"Miridae__sp7","Miridae",1,1,1,3,5,3,0,1,1
"Miridae_Miridae_sp8","Miridae",1,1,1,4,11,2,3,4,2
"Miridae_Miridae_sp9","Miridae",1,0,1,1,7,0,0,0,7
"Miridae_Miridae_sp10","Miridae",1,0,1,1,1,0,0,0,1
"Miridae_Miridae_sp12","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp13","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp14","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp15","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp16","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp17","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp18","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp19","Miridae",0,0,0,0,0,0,0,0,0
"Miridae_Miridae_sp20","Miridae",0,0,0,0,0,0,0,0,0
"Piesmatidae_Piesmatidae_sp1","Piesmatidae",0,0,0,0,0,0,0,0,0
"Psillidae_Psillidae_sp1","Psillidae",1,1,1,3,6,0,2,3,1
"Psillidae_Psillidae_sp2","Psillidae",1,1,1,3,192,0,71,110,11
"Psillidae_Psillidae_sp3","Psillidae",1,0,1,2,32,0,0,26,6
"Psillidae_Psillidae_sp4","Psillidae",0,0,0,0,0,0,0,0,0
"Psillidae_Psillidae_sp5","Psillidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Nezaraviridula","Pentatomidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Solenostethiumliligerum","Pentatomidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Agonoscelisversicoloratus","Pentatomidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp1","Pentatomidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp2","Pentatomidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp3","Pentatomidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp4","Pentatomidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp5","Pentatomidae",1,0,1,1,1,0,0,0,1
"Pentatomidae_Pentatomidae_sp6","Pentatomidae",1,1,0,1,1,1,0,0,0
"Pentatomidae_Pentatomidae_sp7","Pentatomidae",1,0,1,1,1,0,0,0,1
"Pentatomidae_Pentatomidae_sp8","Pentatomidae",0,0,0,0,0,0,0,0,0
"Pentatomidae_Pentatomidae_sp9","Pentatomidae",0,0,0,0,0,0,0,0,0
"Reduviidae_Reduviidae_sp1","Reduviidae",1,1,0,1,1,1,0,0,0
"Reduviidae_Reduviidae_sp2","Reduviidae",0,0,0,0,0,0,0,0,0
"Reduviidae_Reduviidae_sp3","Reduviidae",0,0,0,0,0,0,0,0,0
"Tingidae_Plerochilaaustralis","Tingidae",0,0,0,0,0,0,0,0,0
"Tingidae_Tingidae_sp1","Tingidae",1,1,1,3,21,1,19,0,1
"Tingidae_Compseuta_sp","Tingidae",0,0,0,0,0,0,0,0,0
"Tingidae_Tingidae_sp2","Tingidae",1,0,1,1,5,0,0,0,5
